Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
C5AD Quadruple Extra Large,c5ad.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,3.3 GHz,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.688 hourly,$0.433 hourly,$0.3176 hourly,$0.172 hourly
C5AD Eight Extra Large,c5ad.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,3.3 GHz,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$1.376 hourly,$0.867 hourly,$0.6876 hourly,$0.27 hourly
C5AD Large,c5ad.large,,Compute optimized,,4 GiB,,2 vCPUs,3.3 GHz,75 GB NVMe SSD,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.0363 hourly,
C5AD Extra Large,c5ad.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,3.3 GHz,150 GB NVMe SSD,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.0751 hourly,$0.043 hourly
C6GN Metal,c6gn.metal,,Compute optimized,,128 GiB,,64 vCPUs,2.5 GHz,EBS only,100 Gigabit,,,,
C6ID 12xlarge Extra Large,c6id.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,3.5 GHz,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$2.4192 hourly,$1.5246 hourly,$0.7069 hourly,$0.6048 hourly
C6ID 16xlarge Extra Large,c6id.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,3.5 GHz,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.2256 hourly,$2.0328 hourly,$0.9988 hourly,$0.8064 hourly
C6ID 24xlarge,c6id.24xlarge,,Compute optimized,,192 GiB,,96 vCPUs,3.5 GHz,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$4.8384 hourly,$3.0492 hourly,$1.4653 hourly,$1.2096 hourly
C6ID Double Extra Large,c6id.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,3.5 GHz,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.4032 hourly,$0.2541 hourly,$0.1822 hourly,$0.1008 hourly
C6ID 32xlarge,c6id.32xlarge,,Compute optimized,,256 GiB,,128 vCPUs,3.5 GHz,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$6.4512 hourly,$4.0656 hourly,$1.8379 hourly,$1.6128 hourly
C6ID Quadruple Extra Large,c6id.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,3.5 GHz,950 GB NVMe SSD,Up to 12.5 Gigabit,$0.8064 hourly,$0.5082 hourly,$0.4303 hourly,$0.2016 hourly
C6ID Eight Extra Large,c6id.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,3.5 GHz,1900 GB NVMe SSD,12.5 Gigabit,$1.6128 hourly,$1.0164 hourly,$0.8612 hourly,$0.4032 hourly
C6ID Large,c6id.large,,Compute optimized,,4 GiB,,2 vCPUs,3.5 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1008 hourly,$0.0635 hourly,$0.0373 hourly,
C6ID Metal,c6id.metal,,Compute optimized,,256 GiB,,128 vCPUs,3.5 GHz,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$6.4512 hourly,$4.0656 hourly,$1.9455 hourly,
C6ID Extra Large,c6id.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,3.5 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2016 hourly,$0.1271 hourly,$0.0788 hourly,$0.0504 hourly
C7GN 12xlarge Extra Large,c7gn.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,2.6 GHz,EBS only,150 Gigabit,$2.9952 hourly,$1.887 hourly,$0.9373 hourly,$0.7488 hourly
C7GN 16xlarge Extra Large,c7gn.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,2.6 GHz,EBS only,200 Gigabit,$3.9936 hourly,$2.516 hourly,$1.0983 hourly,$0.9984 hourly
C7GN Double Extra Large,c7gn.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,2.6 GHz,EBS only,Up to 50 Gigabit,$0.4992 hourly,$0.3145 hourly,$0.1978 hourly,$0.1248 hourly
C7GN Quadruple Extra Large,c7gn.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,2.6 GHz,EBS only,50 Gigabit,$0.9984 hourly,$0.629 hourly,$0.2957 hourly,$0.2496 hourly
C7GN Eight Extra Large,c7gn.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,2.6 GHz,EBS only,100 Gigabit,$1.9968 hourly,$1.258 hourly,$0.6073 hourly,$0.4992 hourly
C7GN Large,c7gn.large,,Compute optimized,,4 GiB,,2 vCPUs,2.6 GHz,EBS only,Up to 30 Gigabit,$0.1248 hourly,$0.0786 hourly,$0.0441 hourly,
C7GN Medium,c7gn.medium,,Compute optimized,,2 GiB,,1 vCPUs,2.6 GHz,EBS only,Up to 25 Gigabit,$0.0624 hourly,$0.0393 hourly,$0.0264 hourly,
C7GN Metal,c7gn.metal,,Compute optimized,,128 GiB,,64 vCPUs,2.6 GHz,EBS only,200 Gigabit,$3.9936 hourly,$2.516 hourly,$1.3301 hourly,
C7GN Extra Large,c7gn.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,2.6 GHz,EBS only,Up to 40 Gigabit,$0.2496 hourly,$0.1572 hourly,$0.0919 hourly,$0.0624 hourly
C8GD 12xlarge Extra Large,c8gd.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,2.7 GHz,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$2.3515 hourly,,$0.6743 hourly,
C8GD 16xlarge Extra Large,c8gd.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,2.7 GHz,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.1354 hourly,,$0.8482 hourly,
C8GD 24xlarge,c8gd.24xlarge,,Compute optimized,,192 GiB,,96 vCPUs,2.7 GHz,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$4.703 hourly,,$1.3238 hourly,
C8GD Double Extra Large,c8gd.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,2.7 GHz,474 GB NVMe SSD,Up to 15 Gigabit,$0.3919 hourly,,$0.1614 hourly,
C8GD 48xlarge,c8gd.48xlarge,,Compute optimized,,384 GiB,,192 vCPUs,2.7 GHz,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$9.4061 hourly,,$3.4234 hourly,
C8GD Quadruple Extra Large,c8gd.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,2.7 GHz,950 GB NVMe SSD,Up to 15 Gigabit,$0.7838 hourly,,$0.3014 hourly,
C8GD Eight Extra Large,c8gd.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,2.7 GHz,1900 GB NVMe SSD,15 Gigabit,$1.5677 hourly,,$0.6213 hourly,
C8GD Large,c8gd.large,,Compute optimized,,4 GiB,,2 vCPUs,2.7 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.098 hourly,,$0.0432 hourly,
C8GD Medium,c8gd.medium,,Compute optimized,,2 GiB,,1 vCPUs,2.7 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.049 hourly,,$0.0167 hourly,
C8GD Metal-24xl,c8gd.metal-24xl,,Compute optimized,,192 GiB,,96 vCPUs,2.7 GHz,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$4.703 hourly,,$1.1354 hourly,
C8GD Metal-48xl,c8gd.metal-48xl,,Compute optimized,,384 GiB,,192 vCPUs,2.7 GHz,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$9.4061 hourly,,$2.1989 hourly,
C8GD Extra Large,c8gd.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,2.7 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.196 hourly,,$0.0978 hourly,
C8GN Metal-24xl,c8gn.metal-24xl,,Compute optimized,,192 GiB,,96 vCPUs,2.8 GHz,EBS only,300 Gigabit,$5.688 hourly,,$1.2833 hourly,
C8GN Metal-48xl,c8gn.metal-48xl,,Compute optimized,,384 GiB,,192 vCPUs,2.8 GHz,EBS only,600 Gigabit,$11.376 hourly,,$2.4693 hourly,
C8IB 12xlarge Extra Large,c8ib.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,3.9 GHz,EBS only,50 Gigabit,$3.2659 hourly,,$1.4552 hourly,
C8IB 16xlarge Extra Large,c8ib.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,3.9 GHz,EBS only,66.66 Gigabit,$4.3546 hourly,,$1.98 hourly,
C8IB 24xlarge,c8ib.24xlarge,,Compute optimized,,192 GiB,,96 vCPUs,3.9 GHz,EBS only,100 Gigabit,$6.5318 hourly,,$2.3703 hourly,
C8IB Double Extra Large,c8ib.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,3.9 GHz,EBS only,Up to 26.66 Gigabit,$0.5443 hourly,,$0.3139 hourly,
C8IB 32xlarge,c8ib.32xlarge,,Compute optimized,,256 GiB,,128 vCPUs,3.9 GHz,EBS only,133.33 Gigabit,$8.7091 hourly,,$3.3496 hourly,
C8IB 48xlarge,c8ib.48xlarge,,Compute optimized,,384 GiB,,192 vCPUs,3.9 GHz,EBS only,200 Gigabit,$13.0637 hourly,,$3.6077 hourly,
C8IB Quadruple Extra Large,c8ib.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,3.9 GHz,EBS only,Up to 33.33 Gigabit,$1.0886 hourly,,$0.6555 hourly,
C8IB Eight Extra Large,c8ib.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,3.9 GHz,EBS only,33.33 Gigabit,$2.1773 hourly,,$1.246 hourly,
C8IB 96xlarge,c8ib.96xlarge,,Compute optimized,,768 GiB,,384 vCPUs,3.9 GHz,EBS only,400 Gigabit,$26.1274 hourly,,$9.6143 hourly,
C8IB Large,c8ib.large,,Compute optimized,,4 GiB,,2 vCPUs,3.9 GHz,EBS only,Up to 16.66 Gigabit,$0.1361 hourly,,$0.0496 hourly,
C8IB Metal-48xl,c8ib.metal-48xl,,Compute optimized,,384 GiB,,192 vCPUs,3.9 GHz,EBS only,200 Gigabit,$13.0637 hourly,,$2.6668 hourly,
C8IB Metal-96xl,c8ib.metal-96xl,,Compute optimized,,768 GiB,,384 vCPUs,3.9 GHz,EBS only,400 Gigabit,$26.1274 hourly,,$4.9573 hourly,
C8IB Extra Large,c8ib.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,3.9 GHz,EBS only,Up to 20 Gigabit,$0.2722 hourly,,$0.0815 hourly,
C8ID 12xlarge Extra Large,c8id.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,3.9 GHz,2850 GB NVMe SSD,22.5 Gigabit,$2.6611 hourly,,$0.7858 hourly,
C8ID 16xlarge Extra Large,c8id.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,3.9 GHz,3800 GB NVMe SSD,30 Gigabit,$3.5482 hourly,,$1.5593 hourly,
C8ID 24xlarge,c8id.24xlarge,,Compute optimized,,192 GiB,,96 vCPUs,3.9 GHz,5700 GB (2×2850 GB NVMe SSD),40 Gigabit,$5.3222 hourly,,$1.8263 hourly,
C8ID Double Extra Large,c8id.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,3.9 GHz,474 GB NVMe SSD,Up to 15 Gigabit,$0.4435 hourly,,$0.1656 hourly,
C8ID 32xlarge,c8id.32xlarge,,Compute optimized,,256 GiB,,128 vCPUs,3.9 GHz,7600 GB (2×3800 GB NVMe SSD),50 Gigabit,$7.0963 hourly,,$3.2155 hourly,
C8ID 48xlarge,c8id.48xlarge,,Compute optimized,,384 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),75 Gigabit,$10.6445 hourly,,$2.273 hourly,
C8ID Quadruple Extra Large,c8id.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,3.9 GHz,950 GB NVMe SSD,Up to 15 Gigabit,$0.887 hourly,,$0.292 hourly,
C8ID Eight Extra Large,c8id.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,3.9 GHz,1900 GB NVMe SSD,15 Gigabit,$1.7741 hourly,,$0.5766 hourly,
C8ID 96xlarge,c8id.96xlarge,,Compute optimized,,768 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),100 Gigabit,$21.289 hourly,,$5.1754 hourly,
C8ID Large,c8id.large,,Compute optimized,,4 GiB,,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1109 hourly,,$0.0446 hourly,
C8ID Metal-48xl,c8id.metal-48xl,,Compute optimized,,384 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),75 Gigabit,$10.6445 hourly,,$3.179 hourly,
C8ID Metal-96xl,c8id.metal-96xl,,Compute optimized,,768 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),100 Gigabit,$21.289 hourly,,$3.8149 hourly,
C8ID Extra Large,c8id.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,3.9 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2218 hourly,,$0.0704 hourly,
