Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
R8GB 24xlarge,r8gb.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,2.8 GHz,EBS only,200 Gigabit,$8.7446 hourly,,$2.3728 hourly,
R8GB Double Extra Large,r8gb.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,2.8 GHz,EBS only,Up to 33.33 Gigabit,$0.7287 hourly,,$0.3356 hourly,
R8GB Quadruple Extra Large,r8gb.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,2.8 GHz,EBS only,33.33 Gigabit,$1.4574 hourly,,$0.7154 hourly,
R8GB Eight Extra Large,r8gb.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,2.8 GHz,EBS only,66.66 Gigabit,$2.9149 hourly,,$1.144 hourly,
R8GB Large,r8gb.large,,Memory optimized,,16 GiB,,2 vCPUs,2.8 GHz,EBS only,Up to 20 Gigabit,$0.1822 hourly,,$0.0832 hourly,
R8GB Medium,r8gb.medium,,Memory optimized,,8 GiB,,1 vCPUs,2.8 GHz,EBS only,Up to 16.66 Gigabit,$0.0911 hourly,,$0.0238 hourly,
R8GB Metal-24xl,r8gb.metal-24xl,,Memory optimized,,768 GiB,,96 vCPUs,2.8 GHz,EBS only,200 Gigabit,$17.4893 hourly,,$7.9915 hourly,
R8GB Extra Large,r8gb.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,2.8 GHz,EBS only,Up to 26.66 Gigabit,$0.3644 hourly,,$0.1975 hourly,
R8GD 12xlarge Extra Large,r8gd.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,2.7 GHz,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$3.527 hourly,,$1.1643 hourly,
R8GD 16xlarge Extra Large,r8gd.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,2.7 GHz,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.7027 hourly,,$1.38 hourly,
R8GD 24xlarge,r8gd.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,2.7 GHz,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$7.0541 hourly,,$1.9706 hourly,
R8GD Double Extra Large,r8gd.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,2.7 GHz,474 GB NVMe SSD,Up to 15 Gigabit,$0.5878 hourly,,$0.2126 hourly,
R8GD 48xlarge,r8gd.48xlarge,,Memory optimized,,1536 GiB,,192 vCPUs,2.7 GHz,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$14.1082 hourly,,$5.26 hourly,
R8GD Quadruple Extra Large,r8gd.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,2.7 GHz,950 GB NVMe SSD,Up to 15 Gigabit,$1.1757 hourly,,$0.5796 hourly,
R8GD Eight Extra Large,r8gd.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,2.7 GHz,1900 GB NVMe SSD,15 Gigabit,$2.3514 hourly,,$1.0745 hourly,
R8GD Large,r8gd.large,,Memory optimized,,16 GiB,,2 vCPUs,2.7 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.147 hourly,,$0.0535 hourly,
R8GD Medium,r8gd.medium,,Memory optimized,,8 GiB,,1 vCPUs,2.7 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0735 hourly,,$0.0189 hourly,
R8GD Metal-24xl,r8gd.metal-24xl,,Memory optimized,,768 GiB,,96 vCPUs,2.7 GHz,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$7.0541 hourly,,$1.7714 hourly,
R8GD Metal-48xl,r8gd.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,2.7 GHz,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$14.1082 hourly,,$3.8725 hourly,
R8GD Extra Large,r8gd.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,2.7 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2939 hourly,,$0.1083 hourly,
R8GN 12xlarge Extra Large,r8gn.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,2.8 GHz,EBS only,150 Gigabit,$4.3723 hourly,,$1.1113 hourly,
R8GN 16xlarge Extra Large,r8gn.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,2.8 GHz,EBS only,200 Gigabit,$5.8298 hourly,,$1.6874 hourly,
R8GN 24xlarge,r8gn.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,2.8 GHz,EBS only,300 Gigabit,$8.7446 hourly,,$2.3457 hourly,
R8GN Double Extra Large,r8gn.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,2.8 GHz,EBS only,Up to 50 Gigabit,$0.7287 hourly,,$0.36 hourly,
R8GN 48xlarge,r8gn.48xlarge,,Memory optimized,,1536 GiB,,192 vCPUs,2.8 GHz,EBS only,600 Gigabit,$17.4893 hourly,,$4.51 hourly,
R8GN Quadruple Extra Large,r8gn.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,2.8 GHz,EBS only,50 Gigabit,$1.4574 hourly,,$0.6547 hourly,
R8GN Eight Extra Large,r8gn.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,2.8 GHz,EBS only,100 Gigabit,$2.9149 hourly,,$1.0787 hourly,
R8GN Large,r8gn.large,,Memory optimized,,16 GiB,,2 vCPUs,2.8 GHz,EBS only,Up to 30 Gigabit,$0.1822 hourly,,$0.0818 hourly,
R8GN Medium,r8gn.medium,,Memory optimized,,8 GiB,,1 vCPUs,2.8 GHz,EBS only,Up to 25 Gigabit,$0.0911 hourly,,$0.0225 hourly,
R8GN Metal-24xl,r8gn.metal-24xl,,Memory optimized,,768 GiB,,96 vCPUs,2.8 GHz,EBS only,300 Gigabit,$8.7446 hourly,,$4.0698 hourly,
R8GN Metal-48xl,r8gn.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,2.8 GHz,EBS only,600 Gigabit,$17.4893 hourly,,$2.371 hourly,
R8GN Extra Large,r8gn.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,2.8 GHz,EBS only,Up to 40 Gigabit,$0.3644 hourly,,$0.1808 hourly,
R8IB Metal-48xl,r8ib.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,3.9 GHz,EBS only,200 Gigabit,$20.0832 hourly,,$7.1905 hourly,
R8IB Metal-96xl,r8ib.metal-96xl,,Memory optimized,,3072 GiB,,384 vCPUs,3.9 GHz,EBS only,400 Gigabit,$40.1664 hourly,,$12.6654 hourly,
R8ID 12xlarge Extra Large,r8id.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.9 GHz,2850 GB NVMe SSD,22.5 Gigabit,$3.9917 hourly,,$1.7166 hourly,
R8ID 16xlarge Extra Large,r8id.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.9 GHz,3800 GB NVMe SSD,30 Gigabit,$5.3222 hourly,,$2.0912 hourly,
R8ID 24xlarge,r8id.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,3.9 GHz,5700 GB (2×2850 GB NVMe SSD),40 Gigabit,$7.9834 hourly,,$2.8514 hourly,
R8ID Double Extra Large,r8id.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.9 GHz,474 GB NVMe SSD,Up to 15 Gigabit,$0.6653 hourly,,$0.3523 hourly,
R8ID 32xlarge,r8id.32xlarge,,Memory optimized,,1024 GiB,,128 vCPUs,3.9 GHz,7600 GB (2×3800 GB NVMe SSD),50 Gigabit,$10.6445 hourly,,$4.3938 hourly,
R8ID 48xlarge,r8id.48xlarge,,Memory optimized,,1536 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),75 Gigabit,$15.9667 hourly,,$4.2734 hourly,
R8ID Quadruple Extra Large,r8id.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.9 GHz,950 GB NVMe SSD,Up to 15 Gigabit,$1.3306 hourly,,$0.7514 hourly,
R8ID Eight Extra Large,r8id.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.9 GHz,1900 GB NVMe SSD,15 Gigabit,$2.6611 hourly,,$1.0092 hourly,
R8ID 96xlarge,r8id.96xlarge,,Memory optimized,,3072 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),100 Gigabit,$31.9334 hourly,,$15.8453 hourly,
R8ID Large,r8id.large,,Memory optimized,,16 GiB,,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1663 hourly,,$0.0956 hourly,
R8ID Metal-48xl,r8id.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),75 Gigabit,$15.9667 hourly,,$3.239 hourly,
R8ID Metal-96xl,r8id.metal-96xl,,Memory optimized,,3072 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),100 Gigabit,$31.9334 hourly,,$9.7319 hourly,
R8ID Extra Large,r8id.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.9 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3326 hourly,,$0.2324 hourly,
R8IDB Metal-48xl,r8idb.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),200 Gigabit,$22.5091 hourly,,$9.6998 hourly,
R8IDB Metal-96xl,r8idb.metal-96xl,,Memory optimized,,3072 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),400 Gigabit,$45.0182 hourly,,$16.0392 hourly,
R8IDN Metal-48xl,r8idn.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),300 Gigabit,$22.5091 hourly,,$8.866 hourly,
R8IDN Metal-96xl,r8idn.metal-96xl,,Memory optimized,,3072 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$45.0182 hourly,,$14.4295 hourly,
R8IN Metal-48xl,r8in.metal-48xl,,Memory optimized,,1536 GiB,,192 vCPUs,3.9 GHz,EBS only,300 Gigabit,$20.0832 hourly,,$8.3761 hourly,
R8IN Metal-96xl,r8in.metal-96xl,,Memory optimized,,3072 GiB,,384 vCPUs,3.9 GHz,EBS only,600 Gigabit,$40.1664 hourly,,$13.5973 hourly,
